main_tag,conf_id,event_name,country,author_id,speaker_name,speaker_occupation,speaker_description,talk_id,url,title,description,film_date,duration,views_count_original,laughter_count,applause_count,language_sp
,4,TEDxMileHigh,United States,67958,Paula Stone Williams,Compassionate Leader,"Reverend Dr. Paula Stone Williams is the president of RLT Pathways, Inc., a non-profit providing counseling and coaching services. She works with the Center for Progressive Renewal, serves on the board of the Gay Christian Network, and is an active member at Highlands Church in Denver. She has been featured in the New York Times, The Denver Post, and Colorado Public Radio, and is a blogger for The Huffington Post. She is an avid runner and mountain biker with three children and five granddaughters.",8225,https://www.ted.com/talks/paula_stone_williams_i_ve_lived_as_a_man_and_as_a_woman_here_s_what_i_ve_learned,I've lived as a man and as a woman — here's what I've learned,"Today Paula Stone Williams is a pastoral counselor and woman — but for the first 60 years of her life, Williams identified as male. After coming out as transgender in December 2012, Williams was swiftly fired from a position as an evangelical Christian leader. In this talk, she reflects about the male privilege she once had and how she's being treated now as a woman. 'I am learning a lot about what it means to be a female, and I am learning a lot about my former gender,' she says. 'I'm here to tell you: The differences are massive.'",2017-11-10,925,4494433,29,8,English
,1182,TEDxPortland,United States,85698,Ann Curry,,"A world-renowned journalist and television personality, Ann graduated from the University of Oregon’s School of Journalism, started her career in Ashland (and then Portland!), then quickly rose to global prominence. Most recognized for her high-profile interviews, as well as in-depth coverage of natural disasters and human suffering in active war zones, Ann’s reporting is testament to the power of journalism and its ability to connect us all.",19320,https://www.ted.com/talks/ann_curry_how_to_restore_trust_in_journalism,How to restore trust in Journalism,"Journalism is a noble calling and the credibility of the profession is at stake. Today, there is weaponization of information and it is dividing us.  Ann Curry passionately shares how people are yearning for journalism they can trust. Her Talk powerfully explains that truth leads to trust, which leads to understanding, understanding leads to humanity and humanity can unite us all.    ",2018-04-21,1643,35515,11,21,English
activism,54,TEDxSydney,Australia,1937,Stella Young,"Comedian, journalist, activist","Writer, comedian and advocate Stella Young was the editor of Ramp Up, an online space for news, discussion and opinion about disability in Australia.",2017,https://www.ted.com/talks/stella_young_i_m_not_your_inspiration_thank_you_very_much,"I'm not your inspiration, thank you very much","Stella Young is a comedian and journalist who happens to go about her day in a wheelchair — a fact that doesn't, she'd like to make clear, automatically turn her into a noble inspiration to all humanity. In this very funny talk, Young breaks down society's habit of turning disabled people into 'inspiration porn.'",2014-04-26,556,3843182,7,2,English
activism,161,TEDxStanford,United States,3247,Salil Dudani,Legal activist,"Salil Dudani has experienced the legal system from two vantage points: being detained by D.C. police on suspicion of 'terrorist activity,' and working as an investigator with civil rights lawyers challenging poverty-jailing.",2675,https://www.ted.com/talks/salil_dudani_how_jails_extort_the_poor,How jails extort the poor,"Why do we jail people for being poor? Today, half a million Americans are in jail only because they can't afford to post bail, and still more are locked up because they can't pay their debt to the court, sometimes for things as minor as unpaid parking tickets. Salil Dudani shares stories from individuals who have experienced debtors' prison in Ferguson, Missouri, challenging us to think differently about how we punish the poor and marginalized.",2016-04-24,763,1168854,3,1,English
activism,580,TEDxBoulder,United States,1804,Ash Beckham,Equality advocate,Ash Beckham approaches hard conversations from a place of compassion and empathy.,2282,https://www.ted.com/talks/ash_beckham_when_to_take_a_stand_and_when_to_let_it_go,When to take a stand -- and when to let it go,"Ash Beckham recently found herself in a situation that made her ask: who am I? She felt pulled between two roles — as an aunt and as an advocate. Each of us feels this struggle sometimes, she says -- and offers bold suggestions for how to stand up for your moral integrity when it isn't convenient.",2014-09-27,935,1694799,20,3,English
activism,621,TED2009,United States,456,Diane Benscoter,Deprogrammer,"Diane Benscoter, an ex-Moonie, is now invested in finding ways to battle extremist mentalities and their potentially deadly consequences.",578,https://www.ted.com/talks/diane_benscoter_how_cults_rewire_the_brain,How cults rewire the brain,"Diane Benscoter spent five years as a 'Moonie.' She shares an insider's perspective on the mind of a cult member, and proposes a new way to think about today's most troubling conflicts and extremist movements.",2009-02-06,384,1323965,2,1,English
activism,767,TEDxTeen,United States,70235,Phillip Picardi,"Chief Content Officer and founding editor of Condé Nast’s, THEM","Phillip Picardi is the Chief Content Officer and founding editor of the newly-launched THEM, Condé Nast’s first-ever platform devoted to the queer community. He is also the digital editorial director of both Teen Vogue and Allure, where he oversees audience, content and social strategy. When Picardi re-joined Teen Vogue in 2015 (he was formerly an intern and an assistant for the magazine), he launched the website’s politics and wellness coverage, shifting the brand’s focus from fashion and celebrity to themes of gender equality and social justice. In turn, TeenVogue.com traffic skyrocketed from 2 to 12 million monthly unique visitors in just two years, nabbing two Webby Awards, a GLAAD Award and Adweek nods along the way. Most recently, Picardi was named one of Fast Company’s 100 Most Creative People, and one of the 50 Most Influential LGBTQ People in Media by The Advocate. ",8179,https://www.ted.com/talks/phillip_picardi_to_find_success_embrace_what_makes_you_different,"To find success, embrace what makes you different","Why not use the qualities that make you unique to blaze your own path forward? That approach has driven Phillip Picardi, first as chief content officer at Teen Vogue, where he expanded coverage of politics and activism, and then at them., Conde Nast's first platform devoted to the queer community. In this funny, candid talk, he shares how he's found success by taking chances and encourages us all to pursue our moonshot goals.",2017-11-11,732,28858,,,English
activism,888,TED2017,Canada,3318,Ingrid Betancourt,"Writer, peace advocate","Ingrid Betancourt was a presidential candidate in Colombia in 2002 when she was kidnapped by guerilla rebels. After six years in captivity and a high-profile rescue, she now writes about what she learned about fear, forgiveness and the divine.",2830,https://www.ted.com/talks/ingrid_betancourt_what_six_years_in_captivity_taught_me_about_fear_and_faith,What six years in captivity taught me about fear and faith,"In 2002, the Colombian guerrilla movement known as the FARC (Revolutionary Armed Forces of Colombia) kidnapped Ingrid Betancourt in the middle of her presidential campaign. For the next six years, Betancourt was held hostage in jungle prison camps where she was ravaged by malaria, fleas, hunger and human cruelty until her rescue by the Colombian government. In this deeply personal talk, the politician turned writer explains what it's like to live in a perpetual state of fear -- and how her faith sustained her. (In Spanish with English subtitles)",2017-04-24,1180,991470,1,2,English
activism,1007,TED@UPS,United States,3517,John McKown,Truck-driving activist,"Since joining UPS Freight in 2005, John McKown has driven more than two million accident-free miles. He is proud to share his knowledge about highway safety with the nation’s youth as a Road Team Captain, a title bestowed on a select group of exemplary drivers by the American Trucking Association. His experience on the road has also made him aware of the devastating problem of human trafficking on America’s highways—and has made him an ally in the fight to stop it.",12816,https://www.ted.com/talks/john_mckown_how_a_truck_driver_sees_and_saves_people_on_america_s_highways,How a truck driver sees and saves people on America's highways,"Human trafficking is a little known and practically invisible problem plaguing highways across the US. Truck driver and former police officer John McKown has made it his mission to be an activist on the road and implores all drivers of vehicles big and small to join him in protecting the approximately 293,000 children at risk of enslavement. In this eye-opening talk, McKown passionately advocates for others not to turn a blind eye and shares some easy ways to get you started as an ally on America's highways.",2017-07-20,663,0,,,English
activism,1193,TEDxUF,United States,2671,Mac Stone,Photographer,"Florida-based photographer Mac Stone specializes in documenting the Everglades, an area he prizes for its wildlife and flora.",2334,https://www.ted.com/talks/mac_stone_stunning_photos_of_the_endangered_everglades,Stunning photos of the endangered Everglades,"For centuries, people have viewed swamps and wetlands as obstacles to avoid. But for photographer Mac Stone, who documents the stories of wildlife in Florida's Everglades, the swamp isn't a hindrance — it's a national treasure. Through his stunning photographs, Stone shines a new light on a neglected, ancient and important wilderness. His message: get out and experience it for yourself. 'Just do it — put your feet in the water,' he says. 'The swamp will change you, I promise.'",2015-03-21,1155,1313206,5,1,English
